Part Number,進貨價
INX900T15,77500
Trilogy-701,342704.4
Trilogy-801,49126.8
Trilogy-902,100671
1045299,450
1045153,15030
1045153B,15030
1045295,3540
1076003,540
1045180,720
1045171,150
1045307,180
1045309,300
1045204,930
1045302,600
1045303,510
1045589,30
1045300,1260
1043570,8583.6
1045166,660
1045167,150
1045181,90
1045178,1140
1067047,131.4
1045150,1890
1070249,1257
1045168,360
1105663,4410
1070252,2469
1105664,2469
1105665,2686.5
1084499,2399.4
1084502,2498.4
1084504,2423.1
1084497,7.5
1080250,360
1101071,138.6
1045200,10050
1045306,900
1045590,30
1045175,450
1045587,681
1045296,210
1084485,10230
1084485B,10230
1055806,6587.4
1045183,390
1105660,38.4
1105615,6270.6
1054951,13380
1054951B,13380
1054773,476.1
1054870,944.1
1054872,782.4
1054772,206.1
1054774,28373.1
1054774B,28373.1
1054871,252.6
1054875,201.6
1070135,5.1
1054868,1078.5
1054775,1223.4
1054876,325.5
1054869,269.4
1054874,177.9
1045588,30
1045170,2430
1045298,1140
1045163,810
1045197,990
1045198,900
1106251,19760.4
1106251B,19760.4
1045196,390
1105659,420
1035443,90
1029330,90
1045174,330
1070259,8.7
1045304,9.3
1045201,12600
1045151,9900
1058376,465
1045149,1290
1045403,30
1029360,36.6
1051801,2250
1045152B,17370
1070248,29099.1
1070248B,29099.1
1045310,780
1055430,4389.9
1045311,1110
1064699,1110
1045308,30
1045176,660
1045177,210
1045203,720
1045164,60
1105617,270
1045202,360
1045169,270
1060747,271.5
1045586,540
1045154,570
1045165,180
1045173,90
1045312,105
1075637,105
332113,598.5
1045151B,9900
1045200B,10050
1045201B,12600
70530,25
HC004,36
HC-M-OA,126
HC007,15
HC-CL12,60
HC010,11
HC-CS04,20
R1038831,600
P060002,500
HC-M07521,160
HC-OM81620,48
HC014,40
P0600003,615
1074885,4400
1082663,5500
1082662,25000
900‐118,24100
1083696,2000
1082661,12900
1083692,6000
1083693,1500
1083699,1250
1039642,1000
1094705,1250
1095248,1050
1094703,31000
1093443,2900
1024487,9160.96
1093600,2081.6
1093599,1855.36
1093603,724.48
1093606,724.48
1093608,3420.16
1024489,703.04
1024476,322.24
1024333,491.2
1024331,1677.44
1024482,464.64
1024497,10711.04
1025463,213.76
1024473,226.24
1024466,1522.24
1093602,1176.64
1093601,942.4
1024437,203.2
1024496,20985.6
1024481,14061.76
1024478,3102.4
1024477L,4752.96
1093607,6704.96
1024442,1784
1052624,55.04
1033550,16320.96
1093609,16871.36
1093650,3322.56
1122392,1404.16
1079310,1120
1091148,10881.6
1091149,10764.16
1091147,11628.16
1091168,560.96
1091169,544.96
1091150,576.96
1091173,654.4
1091175,641.6
1091171,641.6
1091721,13385.6
1091720,16104.64
1091724,120.96
1091723,128.96
1091177,144.64
1091199,82.56
1091687,6964.16
1091719,460.8
1091718,445.76
1054921,27252.72
1054922,2844.87
1053279,232.5
1054948,105.71
1054949,8.68
1055426,672.7
1055427,619.07
1055428,55.18
1054924,1321.22
1054925,208.32
1055429,47.43
1054947,949.22
1054950,9.92
1053280,266.6
1117444,234.36
1117454,197.78
1117455,3386.13
1124158,261.95
1114520,2250.6
1134159,2024.3
1134160,562.65
1134161,1488
1117406,159.03
1134162,159.03
1134164,616.28
1117450,6021.75
1134166,6021.75
1117451,723.85
1134167,723.85
1134168,14394.23
1134169,3100
1117452,188.48
1134170,188.48
1139554,2232.93
1139555,17860.65
1139556,13757.8
1119823,12400
1139418,3188.35
1078754,4992
1078755,6048
1078756,5616
1078757,4320
1076592,14256
P1274,6240
P1336,6720
P1337,6240
P1344,4800
P1304R,9440
P1388,7136
P1379,5350.4
1078925,16231.68
1078926,16231.68
1076333,34400
1076334,34400
1075969,18035.2
1073622,6768
1075970,6768
1075973,7056
P1736R,20640
P1133,1728
P1170,1497.6
1113310,9099.2
1113311,9099.2
1099515,25440
1094110,7200
1094111,7200
P1586,8800
P1587,8800
1075383,12000
1081984,8400
1081515,8400
1081517,8400
1081518,8400
1081519,8400
1081985,8400
1081516,8400
1082474,8400
1122672,9457.92
1062049,9600
1062050,9600
1062051,9600
1019531,4800
1019532,8960
H5871,9600
H5875,13440
H5874,9600
H5873,11520
H5872,12160
1019530,10240
1019529,5440
936,8529.28
953,5531.2
954A,1098.24
1116888,2528
1122694,645.44
1078758,8384
1078752,4032
1069622,6624
P1694,8960
1078753,4032
P1716,4480
1048415,63968
1040810,31968
1041200,2374.4
1040805,928
1040806,1312
1040807,992
P1259,4608
P1301,1152
P1295,5140.8
P1300,1152
P1267,11424
P1303,2240
P1263,8553.6
P1302,1728
P1328-60,5760
P1390,774.4
1075233,817.92
1016360,816
T716,270
1016361,144
8179,449.28
8051,371.52
PG-TEN30,211.2
8052,547.2
PG-TEN20,633.6
1097360,7122.24
1117858,35680
1074689,2393.6
1075294,3280.32
1075397,3827.2
1075398,4400.64
1075399,4400.64
1075400,4020.48
1075401,4584.96
1075402,5120
1050795,3456
1019280,2762.88
1104765,241.92
VCF-048,396
1111076,5658
P1343,6479.55
1069194,221722.5
1067148,272722.5
19777,29750
19776,19125
19779,19125
19696,14450
19711,14450
19703,4800
19704,4800
19698,1280
19725,1200
19726,1200
19761,880
19730,800
19731,800
19763,800
19724,640
19734,640
19735,640
19736,640
19762,640
19795,640
19697,640
19717,640
19745,640
19706,600
19728,600
19766,600
19699,600
19700,600
19719,600
19720,600
19721,600
19722,600
19769,600
19796,600
19799,600
19760,560
19939,560
19702,560
19707,560
19729,560
19733,560
19768,560
19701,400
19770,400
19739,320
19740,320
19741,320
19743,320
37310,350
37347,1500
37300,2000
29028,9500
36821,2000
36850,60
36851,120
36852,600
36853,1800
36855,80
36856,130
36857,1000
36858,2000
36920,850
36931,1100
36944,21000
36950,2000
36995,1700
37296,1650
37297,3800
37299,1500
37301,2700
37302,4200
37303,800
37304,1000
37305,1000
37332,6200
37334,720
37335,800
37343,800
37344,2000
37357,1850
37457,28000
37458,28000
38140,20000
38808,8000
38809,660
38810,1080
38811,9000
38812,720
38813,1200
38814,35
38815,70
38816,500
38822,360
38823,1000
38825,1000
38828,2000
38837,1500
38839,2800
38840,1000
38841,500
38842,800
38843,330
38844,330
38856,70
38857,110
38858,350
38859,2500
38878,3000
38880,650
25101,46500
25927,3500
61289,280
62817,1000
62818,1000
62823,1500
62824,1500
62825,1500
62826,1500
62827,550
63420,3500
63421,3500
63422,3500
63423,3500
63424,3500
63465,1200
63466,1200
63467,1400
63468,1400
63469,1400
63470,1200
63471,1200
63472,1200
63473,1200
63475,170
63494,700
63523,2800
63524,2800
63525,2800
63550,1200
63551,1200
63552,1200
63558,1200
63560,1200
63561,1200
63562,1200
63564,250
63565,800
63566,1200
63810,1200
63811,1200
63812,1200
63813,1200
63814,900
63825,2800
63826,2800
63840,1500
63841,1500
63842,600
63861,1200
63862,1200
63863,1200
63875,2800
63876,2800
63888,250
63889,250
64206,2500
64213,1200
64214,1200
64215,1200
64216,600
64219,800
19861,76500
19858,9350
19862,1700
19797,560
19863,350
19864,350
19865,350
28226,65000
28125,58000
19300,8418
19516,1830
19517,1403
19518,51000
19519,1403
19520,13157
19521,11342
19522,183
19523,3111
19524,53665
19525,610
19528,610
19529,8418
19530,34610
19531,29230
19532,427
19535,2562
19538,2562
19539,1037
19540,7320
19541,4514
19542,15555
19544,7320
19546,7320
19547,7320
19549,1403
19550,7320
19584,57800
19585,51000
19587,2562
19590,183
19593,1830
19594,1830
19595,15555
19657,15555
19658,7320
19659,4514
19686,57800
19687,51000
19689,2013
R241-7025,366
R241-7038,488
R241-7054,122
R261-7146,183
R360-775,610
Z2019,61
Z2021,61
Z2032,61
RM-24933,320
19600,102000
19602,2806
19603,1586
19605,22684
19606,29230
19607,2013
19608,2623
19609,2440
19610,3233
19611,4636
19613,1891
19614,1464
19615,1525
19616,1403
19619,1525
19620,25601
19621,1403
19622,1525
19623,77775
19624,14324
19626,2135
19627,40573
19632,1708
19633,1708
19635,1830
19636,1830
19637,15425
19638,3111
19639,3111
19640,1281
19641,3111
19642,6710
19643,1464
19644,1464
19645,1403
19646,1403
19649,1891
19650,1403
19651,1281
19652,18536
19653,87691
19688,10953
19771,1403
19772,1403
19786,1403
19787,1403
19788,1403
19789,1403
19790,1403
19791,1403
19792,1403
19793,5612
19794,1403
19803,29230
19938,20157
27918,40575
27935,6800
27936,6200
27937,7750
27939,1525
27940,2135
27941,1525
27942,1525
22321,1000
629052,500
70568,7000
22374,15000
22371,200
22373,500
70388,1250
1010987,19500
1010952,39000
1010988,1200
1010997,300
1099477,200
1099478,40850
1099479,2900
1099480,1350
1099481,4210
1099482,1400
1099483,1800
1099484,11200
1099485,1250
1099486,720
1099487,10600
1099488,1250
1099489,1000
1099490,13050
1099491,1350
1099492,11600
1099493,150
1099494,1100
1099495,10000
1099496,2650
1100864,110
1100866,760
1103217,770
1043844,158970
1063547,75000
1048135,3588
1071863,1944.9
1071865,1944.9
1090425,1651
1090663,1706
1094061,1350
1104961,1688
1104973,75
1105168,1663
1116720,1200
1125024,1243
